nombre,nombre_corto,correo,web
Administración Nacional de Educación Pública - Contacto General,ANEP,comunicacion@anep.edu.uy,http://www.anep.edu.uy
Administración Nacional de Correos,ANC,transparencia@correo.com.uy,""
Instituto Nacional de Inclusión Social Adolescente,INISA,contacto@inisa.gub.uy,http://inisa.gub.uy
Consejo De Educación Técnico Profesional,"",web@utu.edu.uy,http://utu.edu.uy
Agencia para el Desarrollo del Gobierno de Gestión Electrónica y la Sociedad de la Información y del Conocimiento (AGESIC),urcdp,infourcdp@agesic.gub.uy,""
Embajada de la Republica Oriental del Uruguay ante Australia y Nueva Zelandia,EmbAustralia,urucan@iimetro.com.au,""
Ministerio de Defensa,defensa,ministro@mdn.gub.uy,""
UE 030: Dirección Nacional de Sanidad Policial,sanidad,sdna@sanidadpolicial.gub.uy,""
Zona Francas,zf,zonasfrancas@zfrancas.gub.uy,""
Direccion Nacional de Sanidad  de las  Fuerzas Armadas,sanidadffaa,jrrpp@dnsffaa.gub.uy,""
Consulado de Uruguay en Sydney,Conssyd,curuguay@bigpond.net.au,""
Facultad de Arquitectura,FacArq,contacto@farq.edu.uy,""
Facultad de Psicologia,Facultad de psicologia,decanato@psico.edu.uy,""
Ministerio  Defensa Nacional Ejercito,ejercito,admdptocomsocial@ejercito.mil.uy,""
Oficina Nacional del Servicio Civil,onsc,acorti@onsc.gub.uy,""
Unidad de Acceso a la Información Pública,uaip,mariana.gatti@agesic.gub.uy,""
Servicio de Retiros y Pensiones de las Fuerzas Armadas,srpffaa,sistemas@srpffaa.gub.uy,""
Contaduría General de la Nación,cgn,comisioninfopublica@cgn.gub.uy,""
Dirección Nacional de Aduanas,aduanas,norma.locatelli@aduanas.gub.uy,""
Dirección Nacional de Catastro,catastro,ngatto@catastro.gub.uy,""
Dirección General de Casinos,casinos,pmolina@casinos.gub.uy,""
Dirección Nacional de Industrias,industria,silvia.dodera@dni.miem.gub.uy,""
Dirección Nacional de la Propiedad Industrial,dinapi,mlerena@dnpi.miem.gub.uy,""
Banco Hipotecario del Uruguay,BHU,crivas@bhu.net,""
Unidad Nacional de Seguridad Vial,unasev,unasev@presidencia.gub.uy,""
Junta Departamental de Maldonado,"",informatica@juntamaldonado.gub.uy,""
Junta Departamental de Montevideo,JuntaMontevideo,jschiavone@juntamvd.gub.uy,""
Direccion Nacional de Policia Caminera,Caminera,dnpc-subdirector@minterior.gub.uy,""
Corte Electoral,electoral,bbargas@corteelectoral.gub.uy,""
Tribunal de Cuentas,tcr,tribunal@tcr.gub.uy,""
Unidad Reguladora de Servicios de Comunicaciones,ursc,ursec@ursec.gub.uy,""
Intendencia Departamental de Flores,"",secretariaimflores@adinet.com.uy,""
Congreso de Intendentes,Congresointendentes,congreso.secretaria@ci.gub.uy,www.ci.gub.uy
Agencia para el Gobierno Electronico y la Sociedad de la Informacion,agesic,carina.pizzinat@agesic.gub.uy,http://www.agesic.gub.uy
Junta Nacional de Drogas,"",jnd@presidencia.gub.uy,www.infodrogas.gub.uy
Ministerio de Economia y Finanzas,mef,atencion.usuario@mef.gub.uy,""
Ministerio de Transporte y Obras Públicas,mtop,ministro@mtop.gub.uy,""
Dirección Nacional de Energía,energia,secretaria@dne.miem.gub.uy,""
Municipio G (Montevideo),"",municipiog@imm.gub.uy,""
Administración Nacional de Educación Pública -CONSEJO DE EDUCACION TECNICO PROFESION,CETP,mongay@anep.edu.uy,""
Municipio A (Montevideo),"",municipioa@imm.gub.uy,""
Municipio C (Montevideo),"",municipioc@imm.gub.uy,""
Municipio D (Montevideo),"",municipiod@imm.gub.uy,""
Municipio E (Montevideo),"",municipioe@imm.gub.uy,""
Municipio F (Montevideo),"",municipiof@imm.gub.uy,""
Administración de las Obras Sanitarias del Estado,OSE,secretaria.general@ose.com.uy,http://ose.com.uy
Dirección Nacional de Minería y Geología,mineria,vilma.daudy@dinamige.miem.gub.uy,""
Dirección Nacional de Artesanías y Pequeñas y Medianas Empresas,dinapyme,virginia.costanza@dinapyme.miem.gub.uy,""
Dirección Nacional de Telecomunicaciones y Servicios de  Comunicación Audiovisual,Telecomunicaciones,silvia.cardozo@dinatel.miem.gub.uy,""
Banco de la República Oriental del Uruguay,"BROU, Banco República",informacioncorporativa@brou.com.uy,http://www.bancorepublica.com.uy
Ministerio de Turismo y Deporte,mtd,tloprete@mintur.gub.uy,""
Junta de Transparencia y Ética Pública,jutep,jmancebo@jutep.gub.uy,""
Comando General de la Fuerza Aérea,aerea,mc-sifa@fau.mil.uy,""
Intendencia de Montevideo,IM,derechoalainformacion@imm.gub.uy,http://montevideo.gub.uy
Instituto Nacional de Estadistica,ine,secretaria@ine.gub.uy,""
Defensa del Consumidor,consumidor,atencion.usuario@mef.gub.uy,""
Intendencia de Durazno,"",centro.computos@durazno.gub.uy,""
ANCAP,ANCAP,pbernengo@ancap.com.uy,www.ancap.com.uy
Intendencia de Salto,"",serviciospublicos@salto.gub.uy,""
Municipio B (Montevideo),"",municipiob@imm.gub.uy,""
Auditoría Interna de la Nación,ain,gdangelo@ain.gub.uy,""
Corporación Nacional para el Desarrollo,CND,cnd@cnd.org.uy,""
Administración Nacional de Usinas y Trasmisiones Eléctricas,UTE,ute@ute.com.uy,www.ute.com.uy
Municipio CH (Montevideo),"",municipioch@imm.gub.uy,""
Ministerio de Relaciones Exteiores,exteriores,sm@mrree.gub.uy,""
Ministerio de Educación y Cultura,mec,centrodeinformacion@mec.gub.uy,""
Unidad Certificacion Electronica,UCE,laura.nahabetian@agesic.gub.uy,""
Direccion Nacional de Inteligencia del Estado,DINE,sistemas.jefe@mdn.gub.uy,""
Direccion General de informacion e Inteligencia,DGII,dniirnal@minterior.gub.uy,""
Direccion Nacional de migraciones,DNM,dnm-tramite@minterior.gub.uy,""
Direccion Nacional de Asistencia y  Seguridad SocialPolicial,DNASSP,mrinaldi@minterior.gub.uy,""
Internal admin authority,"",contacto@quesabes.org,""
Tesoreria General de la Nacion,TGN,secretariatgn@tgn.gub.uy,""
Fondo Nacional de Recursos,FNR,fnr@fnr.gub.uy,""
Jefatura de Policía de Canelones,"",cansecgral@policia.gub.uy,""
Dirección General Forestal,DGF,recheverria@mgap.gub.uy,""
Dirección Nacional de Energía y Tecnología Nuclear,DGETN,rodrigo.diaz@dne.miem.gub.uy,""
Autoridad Reguladora Nacional en Radioprotección,ARNR,a.seoane@cooperacion.miem.gub.uy,""
"Direc.de Innovación, Ciencia y Tecnología para el Desarrollo",DICYT,sbalbi@dicyt.gub.uy,""
Suprema Corte de Justicia,SCJ,secgutierrez@poderjudicial.gub.uy,www.poderjudicial.gub.uy
Procuraduría Estado en Contencioso Administrativo,Procudaria,peca@mec.gub.uy,""
"Instituto Nacional de  Donación  y Trasplante de Células, Tejidos y Órganos",INDT,contaduria@indt.edu.uy,""
Consejo de Formación en Educación,"",aaparicio@anep.edu.uy,""
Banco Central del Uruguay,bcu,alvarog@bcu.gub.uy,""
Administración Nacional de Puertos,"",ecalafi@anp.com.uy,""
Intendencia Departamental de Canelones,ICanelones,intendente@imcanelones.gub.uy,http://www.imcanelones.gub.uy
Agencia Nacional de Investigación e Innovación,ANII,mmercapidez@anii.org.uy,""
Direccion Nacional de aviacion civil e infraestructura aeronautica,DINACIA,tramites@dinacia.gub.uy,""
Direccion Nacional de Bomberos,bomberos,mirrpp@minterior.gub.uy,""
Direccion Nacional Recursos Acuaticos,DINARA,ley18381@mgap.gub.uy,""
Dirección Nacional de Identificación Civil (DNIC),icivil,rrpp@dnic.gub.uy,""
Dirección General Impositiva,dgi,4000@dgi.gub.uy,""
Consejo de Educación Secundaria,"",webces@ces.edu.uy,""
Comision Administradora del Poder Legislativo,cadministradora,protocolo@parlamento.gub.uy,""
Caja de Jubilaciones y Pensiones Universitarios,CJPP,rminerva@cjpp.org.uy,""
Fondo de Financimiento y Desarrollo Sustentable de la Actividad Lechera,FFDSAL,mfernandez@ffdsal.com,""
Facultad de Agronomía,FAGRO,felixantoniofuster@gmail.com,""
AFE,afe,prensa@afe.com.uy,""
Instituto Nacional de Colonización,INC,acabrera@colonizacion.com.uy,""
Agencia Nacional de Vivienda,ANV,laura.cavagnaro@anv.gub.uy,""
Caja de Jubilaciones y Pensiones Bancarias,CJJP,mato@cjpb.org.uy,""
Caja Notarial de Seguridad Social,"",hbaston@cajanotarial.org.uy,""
Comisión Honoraria Lucha Contra el Cáncer,"",nicolas@urucan.org.uy,""
Corporación de Protección del Ahorro Bancario,COPAB,glemus@copab.org.uy,""
Dirección Nacional de Impresiones y Publicaciones Oficiales,IMPO,mcamerlati@impo.com.uy,""
Instituto Nacional de Calidad,INACAL,sys@inacal.com.uy,""
Instituto Nacional de Carnes,INAC,rvuille@inac.gub.uy,""
Instituto Nacional de Evaluación Educativa,INEED,logues@ineed.edu.uy,""
Instituto Plan Agropecuario,IPA,gbone@planagropecuario.org.uy,""
Mevir,"",gledesma@mevir.org.uy,""
Junta Departamental de montevideo,"",junta@juntamvd.gub.uy,""
Municipio de Maldonado,"",alejandraaquino@municipiomaldonado.gub.uy,""
Junta Departamental de Paysandú,"",juntadp@adinet.com.uy,""
Junta Departamental de Río Negro,"",secretaria@juntarionegro.gub.uy,""
Junta Departamental de Rocha,"",junta.dep.rocha@gmail.com,""
Intendencia de Maldonado,"",info@maldonado.gub.uy,http://www.maldonado.gub.uy/
Consejo de Educación Inicial y Primaria,"",paginaweb@ceip.edu.uy,""
Junta Departamental de Soriano,"",jdssec@adinet.com.uy,""
"Fiscalía de Corte, Procuraduría General de la Nación",Fiscalia de Corte,comunicacion@fiscalia.gub.uy,""
Intendencia Departamental de Lavalleja,"",info@lavalleja.gub.uy,""
Instituto Uruguayo de Meteorología,INUMET,contacto@inumet.gub.uy,http://www.inumet.gub.uy
Intendencia Departamental de Florida,"",asuntoslegales@florida.gub.uy,http://imf.gub.uy
Junta Departamental de San José,"",junta@juntasanjose.gub.uy,""
Camara de Diputados,Diputados,jmontero@diputados.gub.uy,""
Dirección Nacional de Topografía,topografia,jfranco@dntopografia.gub.uy,""
Direccion Contralor de Semovientes,DICOSE,ley18381@mgap.gub.uy,http://www.mgap.gub.uy/DGSG/DICOSE/dicose.htm
Pluna Ente Autonomo,Pluna,mminetti@plunaea.com.uy,http://www.plunaea.com.uy/
Dirección Nacional Arquitectura,arquitectura,jlimavalverde@dnamtop.gub.uy,""
Dirección Nacional de Transporte,transporte,infodnt@dnt.gub.uy,""
Museo Nacional de Artes Visuales,mnav,secretaria@mnav.gub.uy,""
Instituto de Investigaciones Biológicas Clemente Estable,clementeestable,admin@iibce.edu.uy,""
Dirección Nacional Cultura Científica,cientifica,direccion@dicyt.gub.uy,""
SODRE,sodre,sodre@adinet.com.uy,""
Archivo General de la Nación,agn,infoddhh@agn.gub.uy,""
Ministerio de Trabajo y Seguridad Social,mtss,contacto@mtss.gub.uy,""
Tribunal De Lo Contencioso Administrativo,TCA,jurisprudencia@tca.gub.uy,""
Ministerio de Vivienda Ordenamiento Territorial y Medio Ambiente,mvotma,aviglione@mvotma.gub.uy,""
Instituto Nacional de Investigación Agropecuaria,INIA,lhespanhol@inia.org.uy,""
Laboratorio Tecnológico del Uruguay,LATU,comunicacion@latu.org.uy,""
Television Nacional del Uruguay,tnu,direccion@tnu.com.uy,""
Dirección Nacional de Vialidad,vialidad,secres@dnv.gub.uy,""
Ministerio de Relaciones Exteriores,"",secretaria.general@mrree.gub.uy,""
Ministerio de Ganaderia Agricultura y Pesca,mgap,ley18381@mgap.gub.uy,""
Dirección General de Presidencia de la República,presidencia,mduarte@presidencia.gub.uy,""
Instituto Nacional de Rehabilitacion,INR,inr-comunicacion@minterior.gub.uy,""
DATA Uruguay,datauy,contacto@datauy.org,http://datauy.org
ANTEL,"",prensa@antel.com.uy,http://antel.com.uy
Oficina de Planeamiento y Presupuesto,opp,admdocumental@opp.gub.uy,""
Cámara de Senadores,Senadores,0800@parlamento.gub.uy,""
Direcion General de Registro,registro,info@dgr.gub.uy,""
Instituto Nacional del Nino y el Adolescente del Uruguay,inau,presidencia@inau.gub.uy,www.inau.gub.uy
Banco de Seguros del Estado,BSE,vcarella@bse.com.uy,""
Banco de Previsión Social,BPS,npena@bps.gub.uy,""
Ministerio de Salud Pública,MSP,digese@msp.gub.uy,http://msp.gub.uy
Dirección Nacional de Hidrografía,hidrografia,silvia.mendiberry@mtop.gub.uy,""
Poder Judicial,PJ,info@poderjudicial.gub.uy,""
Dirección General de Secretaría del Ministerio de Desarrollo Social,Mides,informacion@mides.gub.uy,www.mides.gub.uy
Administración de los Servicios de Salud del Estado,ASSE,unidaddetransparencia@asse.com.uy,http://www.asse.com.uy
Instituto de Regulación y Control del Cannabis,IRCCA,contacto@ircca.gub.uy,""
Secretaría Nacional de Deporte,"",info@deporte.gub.uy,http://www.deporte.gub.uy
Dirección General de Secretaría del Ministerio del Interior,interior,smontans@minterior.gub.uy,""
Comando General de la Armada,armada,repar@armada.mil.uy,""
Dirección Nacional De Inteligencia De Estado,"",sistemas.jefe@mdn.gub.uy,""
Agencia de Compras y Contrataciones del Estado,ACCE,compras@acce.gub.uy,http://comprasestatales.gub.uy
